,max_trans
0,476
1,469
2,508
3,405
4,476
5,453
6,442
7,499
8,441
9,472
10,468
11,446
12,484
13,447
14,481
15,471
16,522
17,467
18,477
19,452
20,485
21,447
22,462
23,455
24,464
25,518
26,527
27,478
28,468
29,478
30,514
31,506
32,451
33,480
34,406
35,476
36,455
37,465
38,472
39,496
40,421
41,465
42,491
43,494
44,534
45,450
46,527
47,449
48,462
49,526
50,459
51,466
52,477
53,449
54,466
55,474
56,436
57,464
58,422
59,472
60,451
61,433
62,492
63,462
64,465
65,476
66,489
67,505
68,465
69,435
70,453
71,451
72,506
73,505
74,488
75,472
76,469
77,483
78,473
79,491
80,474
81,498
82,399
83,478
84,468
85,430
86,477
87,503
88,533
89,451
90,475
91,465
92,487
93,466
94,523
95,451
96,516
97,486
98,514
99,469
