node,fee,num_trans
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,7812.398937037862,13
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,2377.1968111135843,39
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,2113.352701425389,14
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,1238.1505755011121,40
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,1207.1968111135843,39
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,1097.1677589755004,18
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,1083.381753563473,35
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,804.7978740757228,26
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,773.8441096881951,25
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,771.8678470155858,111
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,750.185646770572,740
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,650.0290521380838,21
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,650.0290521380838,21
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,650.0290521380838,21
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,521.0748951892891,514
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,440.987508574593,435
02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003,438.91635071269457,7
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,371.44517265033363,12
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,371.44517265033363,12
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,309.53764387527804,10
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,309.53764387527804,10
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,295.00543677058977,291
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,285.1043398886398,41
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,278.5838794877502,9
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,278.5838794877502,9
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,278.5838794877502,9
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,247.6301151002224,8
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,247.6301151002224,8
03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,240.9537643875278,1
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,222.5204604008896,32
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,220.6301151002224,8
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,208.83546383072678,206
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,198.69781995544878,196
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,154.76882193763902,5
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,154.76882193763902,5
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,153.6800880400854,93
02445ff6a24e69242d6f6f38e1b7e8ae9c01eb9b660f3daf3304cb4b7cfeb79a99,152.06465812917,150
