node,fee,num_trans
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,10773.184418086103,852
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,7005.098788286034,554
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,3439.3264808913377,272
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,3186.434827884622,252
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,2187.5127985080935,173
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,2162.223633207422,171
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,2149.5790505570862,170
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,1909.3319802007059,151
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,1909.3319802007059,151
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,1707.0186577953332,135
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,1656.44032719399,131
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,1618.5065792429825,128
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,1479.4161700892887,117
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,1327.6811782852592,105
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,1277.1028476839158,101
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,1112.7232732295504,88
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,1087.4341079288788,86
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,1087.4341079288788,86
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,948.3436987751851,75
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,897.7653681738419,71
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,758.6749590201481,60
02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,733.3857937194765,58
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,695.452045768469,55
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,594.2953845657827,47
038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,594.2953845657827,47
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,531.0724713141036,42
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,493.13872336309623,39
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,493.13872336309623,39
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,442.560392761753,35
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,417.2712274610814,33
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,417.2712274610814,33
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,404.62664481074563,32
